"date","repo","title","submitter","usertype","assignee"
"2018-09-06T07:20:47Z","picasso.js","Support for Components in Components","nilzona","COLLABORATOR",
"2018-09-03T10:38:13Z","corectl","Consider coloring output","peol","MEMBER",
"2018-09-03T10:33:23Z","corectl","Require app to have data loaded on majority of commands","peol","MEMBER",
"2018-09-03T06:41:05Z","corectl","Add documentation to existing functions","sublibra","COLLABORATOR",
"2018-08-31T08:50:36Z","mira","Switch to using the Kubernetes API directly instead of a sidecar","FredrikFolkesson","MEMBER",
"2018-08-30T11:55:26Z","corectl","Dependency to local running engine","carlioth","MEMBER",
"2018-08-29T20:17:09Z","core-website","Fix broken 404 page","sublibra","CONTRIBUTOR","{""login"":""sublibra"",""id"":3288294,""node_id"":""MDQ6VXNlcjMyODgyOTQ="",""avatar_url"":""https://avatars3.githubusercontent.com/u/3288294?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/sublibra"",""html_url"":""https://github.com/sublibra"",""followers_url"":""https://api.github.com/users/sublibra/followers"",""following_url"":""https://api.github.com/users/sublibra/following{/other_user}"",""gists_url"":""https://api.github.com/users/sublibra/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/sublibra/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/sublibra/subscriptions"",""organizations_url"":""https://api.github.com/users/sublibra/orgs"",""repos_url"":""https://api.github.com/users/sublibra/repos"",""events_url"":""https://api.github.com/users/sublibra/events{/privacy}"",""received_events_url"":""https://api.github.com/users/sublibra/received_events"",""type"":""User"",""site_admin"":false}"
"2018-08-29T06:11:04Z","core-file-connectivity-service","We found a potential security vulnerability in one of your dependencies","carlioth","MEMBER",
"2018-08-27T11:32:44Z","core-website","Add core-cli to the download page","sublibra","CONTRIBUTOR",
"2018-08-27T11:13:57Z","corectl","Connect to engine through https ","sublibra","COLLABORATOR",
"2018-08-27T11:10:58Z","corectl","Add init function","sublibra","COLLABORATOR",
"2018-08-27T10:59:21Z","corectl","Add documenation to qlik core website","sublibra","COLLABORATOR",
"2018-08-27T10:55:23Z","corectl","Create blog post describing the tool and background","sublibra","COLLABORATOR",
"2018-08-27T10:54:22Z","corectl","Review/refactor tool structure","sublibra","COLLABORATOR",
"2018-08-27T10:48:54Z","corectl","Add data paging in field view","sublibra","COLLABORATOR",
"2018-08-27T10:41:06Z","corectl","Setup publish new release pipeline","sublibra","COLLABORATOR",
"2018-08-27T08:16:31Z","enigma-go","Create API specification usable for API governance application","sublibra","NONE",
"2018-08-27T08:11:07Z","core","Investigate Qlik Core edge case","sublibra","NONE",
"2018-08-24T09:31:36Z","core-authorization","Provide an example of a multi tenancy use case","sublibra","NONE",
"2018-08-24T09:12:47Z","core-authorization","Create an example for importing apps","sublibra","NONE",
"2018-08-22T03:48:40Z","sse-r-plugin","Support for TLS encrypted connections to Rserve","rrawstron","NONE",
"2018-08-17T18:34:50Z","nprinting-adsync","NPrinting Swagger Codegen","knxroot","NONE",
"2018-08-06T04:55:57Z","sse-r-plugin","Guidance on installing the SSE-R plugin on a multi-node environment.","glenndavid","NONE",
"2018-07-20T10:51:37Z","picasso.js","Line component orientation doesn't update","Hannesfornell","NONE",
"2018-07-20T06:17:48Z","core-website","Merge the tables on the download page","sublibra","CONTRIBUTOR",
"2018-07-20T06:14:58Z","enigma.js","API Specification which can be consumed in our API governance tools","sublibra","NONE","{""login"":""wennmo"",""id"":18258091,""node_id"":""MDQ6VXNlcjE4MjU4MDkx"",""avatar_url"":""https://avatars1.githubusercontent.com/u/18258091?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/wennmo"",""html_url"":""https://github.com/wennmo"",""followers_url"":""https://api.github.com/users/wennmo/followers"",""following_url"":""https://api.github.com/users/wennmo/following{/other_user}"",""gists_url"":""https://api.github.com/users/wennmo/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/wennmo/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/wennmo/subscriptions"",""organizations_url"":""https://api.github.com/users/wennmo/orgs"",""repos_url"":""https://api.github.com/users/wennmo/repos"",""events_url"":""https://api.github.com/users/wennmo/events{/privacy}"",""received_events_url"":""https://api.github.com/users/wennmo/received_events"",""type"":""User"",""site_admin"":false}"
"2018-07-18T13:55:59Z","picasso.js","Add documentation about collections","sublibra","NONE",
"2018-07-09T08:03:18Z","core-website","Create a weekly job checking for broken links","sublibra","CONTRIBUTOR","{""login"":""carlioth"",""id"":908670,""node_id"":""MDQ6VXNlcjkwODY3MA=="",""avatar_url"":""https://avatars2.githubusercontent.com/u/908670?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/carlioth"",""html_url"":""https://github.com/carlioth"",""followers_url"":""https://api.github.com/users/carlioth/followers"",""following_url"":""https://api.github.com/users/carlioth/following{/other_user}"",""gists_url"":""https://api.github.com/users/carlioth/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/carlioth/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/carlioth/subscriptions"",""organizations_url"":""https://api.github.com/users/carlioth/orgs"",""repos_url"":""https://api.github.com/users/carlioth/repos"",""events_url"":""https://api.github.com/users/carlioth/events{/privacy}"",""received_events_url"":""https://api.github.com/users/carlioth/received_events"",""type"":""User"",""site_admin"":false}"
"2018-07-08T20:20:32Z","enigma.js","Implement schema generator","peol","MEMBER",
"2018-07-04T13:25:54Z","core-assisted-prescription","Investigate possible improvements to Docker Swarm deployment","janmiderback","CONTRIBUTOR",
"2018-07-03T19:17:29Z","server-side-extension","SSE function call on demand from QlikView","ThomasGorr","NONE",
"2018-07-03T10:21:11Z","picasso.js","Labels placements property as a function for the Bars strategy ","alner","NONE",
"2018-06-22T15:03:53Z","sse-r-plugin","Sense apps for qlik sense enterpise","gkourogiorgas","NONE",
"2018-06-17T08:57:24Z","enigma.js","Example / Document GetInteract","konne","NONE",
"2018-06-12T12:40:12Z","enigma-go","Split generated code into multiple files","wennmo","MEMBER",
"2018-06-12T12:37:57Z","enigma-go","Improve testability and mockability in enigma-go","wennmo","MEMBER",
"2018-05-30T02:41:57Z","server-side-extension","Functions with a variable number of parameters","nabeel-oz","NONE",
"2018-05-28T23:55:41Z","sse-r-plugin","Qlik failing to connect to sse plugin","phealeyh","NONE",
"2018-05-23T02:19:25Z","sse-r-plugin","Video Tutorial","tiagopost","NONE",
"2018-05-18T12:33:16Z","picasso.js","Missing property options documentation","mindspank","NONE",
"2018-05-16T05:55:17Z","picasso.js","Animations!!!","miralemd","COLLABORATOR",
"2018-05-14T17:11:13Z","sse-r-plugin","QlikSense unable to use R functions (appear as text)","mssqlsage","NONE",
"2018-05-09T06:55:48Z","halyard.js","Support non array JSON ingestion ","StefanEnberg","CONTRIBUTOR","{""login"":""StefanEnberg"",""id"":43105,""node_id"":""MDQ6VXNlcjQzMTA1"",""avatar_url"":""https://avatars1.githubusercontent.com/u/43105?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/StefanEnberg"",""html_url"":""https://github.com/StefanEnberg"",""followers_url"":""https://api.github.com/users/StefanEnberg/followers"",""following_url"":""https://api.github.com/users/StefanEnberg/following{/other_user}"",""gists_url"":""https://api.github.com/users/StefanEnberg/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/StefanEnberg/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/StefanEnberg/subscriptions"",""organizations_url"":""https://api.github.com/users/StefanEnberg/orgs"",""repos_url"":""https://api.github.com/users/StefanEnberg/repos"",""events_url"":""https://api.github.com/users/StefanEnberg/events{/privacy}"",""received_events_url"":""https://api.github.com/users/StefanEnberg/received_events"",""type"":""User"",""site_admin"":false}"
"2018-04-25T15:08:50Z","sse-r-plugin","Can not connect to Plugin from QlikSense Nodes / other Host","sirpod","NONE",
"2018-04-20T08:27:22Z","enigma.js","Example / Documentation for Cancel Request","konne","NONE",
"2018-04-19T10:39:29Z","core-website","Remove Sense Enterprise references from QIX documentation ","mindspank","NONE",
"2018-04-18T11:48:04Z","core-qix-session-placement-service","Save prometheus data to a volume","carlioth","MEMBER",
"2018-04-18T07:51:15Z","core-assisted-prescription","Divide the alerting rules","carlioth","MEMBER",
"2018-04-12T12:26:11Z","picasso.js","How do you use canvas to render figures?","slowkow","NONE",
"2018-03-29T08:46:53Z","picasso.js","Minor Gridlines not working","arperyan","NONE","{""login"":""carlhannes"",""id"":734718,""node_id"":""MDQ6VXNlcjczNDcxOA=="",""avatar_url"":""https://avatars3.githubusercontent.com/u/734718?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/carlhannes"",""html_url"":""https://github.com/carlhannes"",""followers_url"":""https://api.github.com/users/carlhannes/followers"",""following_url"":""https://api.github.com/users/carlhannes/following{/other_user}"",""gists_url"":""https://api.github.com/users/carlhannes/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/carlhannes/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/carlhannes/subscriptions"",""organizations_url"":""https://api.github.com/users/carlhannes/orgs"",""repos_url"":""https://api.github.com/users/carlhannes/repos"",""events_url"":""https://api.github.com/users/carlhannes/events{/privacy}"",""received_events_url"":""https://api.github.com/users/carlhannes/received_events"",""type"":""User"",""site_admin"":false}"
"2018-03-23T17:10:48Z","sse-r-plugin","Not working with QlikView 12.","mdlamora","NONE",
"2018-03-23T00:07:27Z","sse-r-plugin","Error while using R.ScriptEval()","123saga","NONE",
"2018-03-20T09:16:28Z","core-get-started","Investigate using Node.js from Docker image","peol","MEMBER",
"2018-03-16T19:10:26Z","http-metrics-middleware","Better support for Koa and other non-express frameworks...","hairyhenderson","MEMBER",
"2018-03-14T07:41:33Z","core-orchestration","Don't expose services on Nodeport","carlioth","MEMBER",
"2018-03-13T21:10:24Z","core-grpc-prometheus-connector","Example UI: Clean up chart code","peol","MEMBER",
"2018-03-13T16:18:44Z","picasso.js","Label strategies","yianni-ververis","NONE",
"2018-03-07T15:51:52Z","picasso.js","Add a new setting on the Axis labels that allow them to be aligned along the cross-axis","cbt1","COLLABORATOR",
"2018-02-23T23:53:53Z","picasso.js","Feature Request: component to handle the rendering of arcs","ralfbecher","NONE",
"2018-02-01T10:37:22Z","sse-r-plugin","Error while executing R Plugin Defined Function Sheet in provided sample app","dreamerPrashant","NONE",
"2018-01-19T00:59:37Z","sse-r-plugin","Didn´t find csharp folder","Ines77","NONE",
"2017-12-08T15:56:23Z","sse-r-plugin","ServerSideExtension.dll' could not be found","Mbencheikh","NONE",
"2017-12-06T09:43:51Z","core-assisted-prescription-gateway","Use postcss","peol","MEMBER",
"2017-11-27T09:54:49Z","core-assisted-prescription-gateway","Upgrade material-ui to v1","snurrfint","CONTRIBUTOR",
"2017-11-21T21:10:21Z","sse-r-plugin","Tensor Calls and transferring multi row data back and forth","123saga","NONE",
"2017-11-15T08:36:54Z","sse-r-plugin","Nothing happen in the application","stephanegrimaud","NONE",
"2017-11-08T12:34:09Z","enigma.js","Allow mixins to seamlessly override existing methods","konne","NONE",
"2017-10-23T11:20:35Z","halyard.js","Add support for using custom connectors","StefanEnberg","CONTRIBUTOR",
"2017-10-13T14:00:22Z","enigma.js","Packaged mixin: Generic object state","marcusoffesson","CONTRIBUTOR",
"2017-10-13T13:59:32Z","enigma.js","Packaged mixin: Access global/doc from generated APIs","marcusoffesson","CONTRIBUTOR",
"2017-10-13T13:58:48Z","enigma.js","Packaged mixin: Garbage collector/memory optimizer","marcusoffesson","CONTRIBUTOR",
"2017-10-13T13:55:31Z","enigma.js","Packaged mixin: Pending call cache","marcusoffesson","CONTRIBUTOR",
"2017-10-13T13:54:08Z","enigma.js","Packaged mixin: `getObject` cache","marcusoffesson","CONTRIBUTOR",
"2017-10-03T17:24:11Z","halyard.js","Support HyperCube in DATA_MODE_TREE","KFredberg","CONTRIBUTOR",
"2017-10-03T17:24:07Z","halyard.js","Support HyperCube in DATA_MODE_PIVOT_STACK","KFredberg","CONTRIBUTOR",
"2017-10-03T17:24:04Z","halyard.js","Support HyperCube in DATA_MODE_PIVOT","KFredberg","CONTRIBUTOR",
"2017-08-25T11:14:03Z","enigma.js","Feature: Optional (packaged) mixins","peol","MEMBER",
"2017-08-25T08:46:16Z","enigma.js","Add support for runtime mixins","marcusoffesson","CONTRIBUTOR",
"2017-08-12T12:48:36Z","server-side-extension","Does not create multiple connections to back end gRPC service","newmans99","NONE",
"2017-06-20T11:04:36Z","core-assisted-prescription","Secrets Management: Conflict with regular updates","stefanwalther","MEMBER",
"2017-06-15T21:58:42Z","qlik-sense-visualization-extension-testing","Introduction out of date","stefanwalther","MEMBER","{""login"":""axelssonHakan"",""id"":5768580,""node_id"":""MDQ6VXNlcjU3Njg1ODA="",""avatar_url"":""https://avatars1.githubusercontent.com/u/5768580?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/axelssonHakan"",""html_url"":""https://github.com/axelssonHakan"",""followers_url"":""https://api.github.com/users/axelssonHakan/followers"",""following_url"":""https://api.github.com/users/axelssonHakan/following{/other_user}"",""gists_url"":""https://api.github.com/users/axelssonHakan/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/axelssonHakan/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/axelssonHakan/subscriptions"",""organizations_url"":""https://api.github.com/users/axelssonHakan/orgs"",""repos_url"":""https://api.github.com/users/axelssonHakan/repos"",""events_url"":""https://api.github.com/users/axelssonHakan/events{/privacy}"",""received_events_url"":""https://api.github.com/users/axelssonHakan/received_events"",""type"":""User"",""site_admin"":false}"
"2017-06-01T13:26:02Z","core-assisted-prescription","Kibana dashboard not initialized","stefanwalther","MEMBER",
"2017-05-18T14:41:53Z","halyard.js","Feature reqeust: Examples on using halyard in a Qlik Sense Extension ","kfsjostrand","NONE",
"2016-12-14T16:02:22Z","open-source","CLA Enter Email Address placeholder","carlhannes","NONE","{""login"":""stefanwalther"",""id"":669728,""node_id"":""MDQ6VXNlcjY2OTcyOA=="",""avatar_url"":""https://avatars1.githubusercontent.com/u/669728?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/stefanwalther"",""html_url"":""https://github.com/stefanwalther"",""followers_url"":""https://api.github.com/users/stefanwalther/followers"",""following_url"":""https://api.github.com/users/stefanwalther/following{/other_user}"",""gists_url"":""https://api.github.com/users/stefanwalther/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/stefanwalther/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/stefanwalther/subscriptions"",""organizations_url"":""https://api.github.com/users/stefanwalther/orgs"",""repos_url"":""https://api.github.com/users/stefanwalther/repos"",""events_url"":""https://api.github.com/users/stefanwalther/events{/privacy}"",""received_events_url"":""https://api.github.com/users/stefanwalther/received_events"",""type"":""User"",""site_admin"":false}"
